Nama Pelamar,Email,Phone,Umur,Bidang,Pendidikan,Cabang,Biodata,File CV
Royyan,royyanmz87@gmail.com,,23,Web Design,D3,App Development,asd,MyJobStreet - Lihat Profil Saya.pdf
Sindar,sindar@mail.com,,23,"Graphic Design",SMA/SMK,"App Development",Halo,"Invoice INV0482 - D-net Surabaya.pdf"
"Tes nama",nam@mail.com,,23,"Graphic Design",D4,"Web Design",asd,"CV_Muhammad Royyan Zamzami.pdf"
"Nama 2",naama@mail.com,,23,"Web Design",SMA/SMK,"App Development","Nama saya royyan","CV_Muhammad Royyan Zamzami.pdf"
Royyan,royyanmz87@gmail.com,,23,"Web Design",SMA/SMK,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Royyan,royyanmz87@gmail.com,,23,"Web Design",SMA/SMK,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Sindar,royyanmz87@gmail.com,,23,"Graphic Design",D4,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Royyan,royyanmz87@gmail.com,,23,"Graphic Design",SMA/SMK,"Web Design",asd,"CV_Muhammad Royyan Zamzami.pdf"
Royyan,royyanmz87@gmail.com,,23,"Graphic Design",SMA/SMK,"Web Design",asd,"CV_Muhammad Royyan Zamzami.pdf"
Cek,royyanmz87@gmail.com,,23,"Graphic Design",SMA/SMK,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Cek,royyanmz87@gmail.com,,23,"Graphic Design",SMA/SMK,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Cek,royyanmz87@gmail.com,,23,"Graphic Design",SMA/SMK,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Rayhan,royyanmz87@gmail.com,,23,"Graphic Design",SMA/SMK,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Royyan,royyanmz87@gmail.com,,23,"App Development",D4,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Royyan,halo@gmail.com,,23,"Web Design",D4,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
Royyan,royyanmz87@gmail.com,,23,"App Development",SMP,"App Development",asd,"CV_Muhammad Royyan Zamzami.pdf"
"M Royyan",royyanmz87@gmail.com,,23,"Web Design",SMA/SMK,"Web Design",asd,"CV_Muhammad Royyan Zamzami.pdf"
"Royyan Z",royyanmz87@gmail.com,,23,"Web Design",D4,Malang,asd,"CV_Muhammad Royyan Zamzami.pdf"
"Royyan 2",royyan@gmail.com,,23,"Graphic Design",D3,Malang,"Saya Muh royyan","Project Charter - Website Bukti Potong Pph Vendor v3 (with mockup) v.1.2.pptx"
